"Metodo_Estudio","Puntaje_Examen","Horas_Estudio_Sem"
"Tradicional",72.1976217672389,10.9870077119242
"Tradicional",73.8491125525836,10.0967939190161
"Tradicional",82.7935415707456,9.47746347022288
"Tradicional",75.3525419571229,7.74418784792126
"Tradicional",75.6464386758047,11.72130489706
"Tradicional",83.5753249344164,7.79948082570575
"Tradicional",77.304581029946,13.3746659860332
"Tradicional",68.6746938269673,12.0652212523704
"Tradicional",71.5657357405324,8.52859928179905
"Tradicional",72.7716901495002,6.94715819938644
"Tradicional",81.1204089871973,7.5791868726014
"Tradicional",76.7990691352868,9.51376741831306
"Tradicional",77.0038572529703,8.50661624307525
"Tradicional",75.5534135797256,8.30491480120453
"Tradicional",72.2207943262296,7.09676286546997
"Tradicional",83.9345656840154,8.90994455038216
"Tradicional",77.4892523911462,7.43019106108585
"Tradicional",65.1669142168518,5.66411612682373
"Tradicional",78.5067795078184,8.23954695942447
"Tradicional",72.6360429613603,10.8379932181215
"Tradicional",69.6608814700658,7.84930607478322
"Tradicional",73.9101254267085,10.2159286444501
"Tradicional",69.8699777584638,5.76423458342167
"Tradicional",71.3555438535443,8.88887606895092
"Tradicional",71.8748036607537,10.0388144078869
"Tradicional",66.5665334462879,9.60230672433343
"Tradicional",79.1889352224726,9.21135238829789
"Tradicional",75.7668655891826,7.71858798338925
"Tradicional",69.3093153149403,7.30059130793284
"Tradicional",81.2690746053496,6.95174241879017
"Online",84.1323211073841,11.2352931942003
"Online",80.5246425850386,9.1050507716304
"Online",86.4756283052251,10.0188851125987
"Online",86.3906674376652,10.4878156156035
"Online",86.1079054081874,14.6877240104644
"Online",85.4432012705005,9.69610019660908
"Online",84.769588267688,11.4707731445697
"Online",81.6904414471164,11.1559216991274
"Online",80.4701866813004,9.07628673173974
"Online",80.0976449949381,10.8573838277528
"Online",78.5264651053974,13.8891017168467
"Online",80.960413609902,11.9030081061584
"Online",75.6730182421587,11.0824658439859
"Online",92.8447798266926,10.1550063353208
"Online",88.0398099915249,6.89350555691897
"Online",76.3844570839832,13.2626744268284
"Online",79.9855758235046,8.07871985815036
"Online",79.6667232318839,12.4798950217547
"Online",85.8998255916816,14.818207138435
"Online",81.5831546676409,8.1122136780564
"Online",83.2665925699738,12.4035686707494
"Online",81.8572662232565,10.4756050211951
"Online",81.7856477135434,7.85571168170902
"Online",88.8430114200723,7.9706646924365
"Online",80.8711450717037,7.79692765285081
"Online",89.5823530221477,9.93818695565939
"Online",74.2562359788489,8.0764888300082
"Online",84.9230687481803,12.3758335459517
"Online",82.6192712192231,15.2002178810513
"Online",83.0797078437199,8.42593904792964
"Híbrido",89.8981974137994,14.5754776949504
"Híbrido",85.4883827344535,14.5380844820018
"Híbrido",86.3339630816529,13.6644051579002
"Híbrido",82.9071230844646,10.983246783446
"Híbrido",82.6410438676221,12.7610947867387
"Híbrido",89.5176432070213,12.4392093296595
"Híbrido",90.2410488931471,14.125979066441
"Híbrido",88.2650211336525,12.2551224877923
"Híbrido",92.6113373393987,14.9539467733712
"Híbrido",98.2504234281357,12.250838284466
"Híbrido",85.5448441697173,15.1054229311587
"Híbrido",76.4541556217959,10.9016459866679
"Híbrido",93.0286926223113,10.4796895104838
"Híbrido",84.453996187088,19.4820798698848
"Híbrido",84.5599569176632,12.1662848236791
"Híbrido",93.1278568484835,13.5964551830814
"Híbrido",86.576134964745,14.2731393480677
"Híbrido",81.8964114387273,12.0324387485825
"Híbrido",88.9065173987457,14.0337240886272
"Híbrido",87.3055431878048,13.7379290547702
"Híbrido",88.0288209294994,12.5692389847166
"Híbrido",89.9264020056317,13.1305860670506
"Híbrido",86.146699841038,12.9318654925231
"Híbrido",91.2218827425942,17.2569037980324
"Híbrido",86.8975671909062,11.5173278074543
"Híbrido",89.6589098195785,10.8080074658507
"Híbrido",93.4841950657467,13.0755767983422
"Híbrido",90.175907454169,13.6209614988863
"Híbrido",86.3703420723439,13.8730469578204
"Híbrido",93.7440380922555,12.0832693345778
